mode,epsilon,trial,kappa,P_sink_T_end,P_sink_D_end,Selectivity_end,coverage_end
extended,0.0,0,0.001,0.013186862210208873,0.011219409804152796,1.175361488636637,0.02440627201436167
extended,0.0,0,0.003,0.01317302298685586,0.011194351073397784,1.1767562853181752,0.024367374060253646
extended,0.0,0,0.01,0.013124248354627794,0.01110735572661987,1.181581708236161,0.024231604081247665
extended,0.0,0,0.03,0.012982355983484383,0.010864755321559784,1.1949055085048783,0.023847111305044168
extended,0.0,0,0.1,0.01246764645055659,0.010080355998683205,1.2368260060407004,0.022548002449239796
extended,0.0,0,0.3,0.011013844595614213,0.00828899444709152,1.3287310860909154,0.01930283904270573
extended,0.0,0,1.0,0.007356601959113651,0.0048400659623756516,1.5199383675306086,0.012196667921489303
extended,0.0,0,3.0,0.003012674345883303,0.0016739758582320228,1.7997119428385546,0.004686650204115326
extended,0.0,0,10.0,0.0004799135587435523,0.00022881574371884643,2.097379965409453,0.0007087293024623987
extended,0.0,1,0.001,0.013186862210208873,0.011219409804152796,1.175361488636637,0.02440627201436167
extended,0.0,1,0.003,0.01317302298685586,0.011194351073397784,1.1767562853181752,0.024367374060253646
extended,0.0,1,0.01,0.013124248354627794,0.01110735572661987,1.181581708236161,0.024231604081247665
extended,0.0,1,0.03,0.012982355983484383,0.010864755321559784,1.1949055085048783,0.023847111305044168
extended,0.0,1,0.1,0.01246764645055659,0.010080355998683205,1.2368260060407004,0.022548002449239796
extended,0.0,1,0.3,0.011013844595614213,0.00828899444709152,1.3287310860909154,0.01930283904270573
extended,0.0,1,1.0,0.007356601959113651,0.0048400659623756516,1.5199383675306086,0.012196667921489303
extended,0.0,1,3.0,0.003012674345883303,0.0016739758582320228,1.7997119428385546,0.004686650204115326
extended,0.0,1,10.0,0.0004799135587435523,0.00022881574371884643,2.097379965409453,0.0007087293024623987
extended,0.0,2,0.001,0.013186862210208873,0.011219409804152796,1.175361488636637,0.02440627201436167
extended,0.0,2,0.003,0.01317302298685586,0.011194351073397784,1.1767562853181752,0.024367374060253646
extended,0.0,2,0.01,0.013124248354627794,0.01110735572661987,1.181581708236161,0.024231604081247665
extended,0.0,2,0.03,0.012982355983484383,0.010864755321559784,1.1949055085048783,0.023847111305044168
extended,0.0,2,0.1,0.01246764645055659,0.010080355998683205,1.2368260060407004,0.022548002449239796
extended,0.0,2,0.3,0.011013844595614213,0.00828899444709152,1.3287310860909154,0.01930283904270573
extended,0.0,2,1.0,0.007356601959113651,0.0048400659623756516,1.5199383675306086,0.012196667921489303
extended,0.0,2,3.0,0.003012674345883303,0.0016739758582320228,1.7997119428385546,0.004686650204115326
extended,0.0,2,10.0,0.0004799135587435523,0.00022881574371884643,2.097379965409453,0.0007087293024623987
extended,0.0,3,0.001,0.013186862210208873,0.011219409804152796,1.175361488636637,0.02440627201436167
extended,0.0,3,0.003,0.01317302298685586,0.011194351073397784,1.1767562853181752,0.024367374060253646
extended,0.0,3,0.01,0.013124248354627794,0.01110735572661987,1.181581708236161,0.024231604081247665
extended,0.0,3,0.03,0.012982355983484383,0.010864755321559784,1.1949055085048783,0.023847111305044168
extended,0.0,3,0.1,0.01246764645055659,0.010080355998683205,1.2368260060407004,0.022548002449239796
extended,0.0,3,0.3,0.011013844595614213,0.00828899444709152,1.3287310860909154,0.01930283904270573
extended,0.0,3,1.0,0.007356601959113651,0.0048400659623756516,1.5199383675306086,0.012196667921489303
extended,0.0,3,3.0,0.003012674345883303,0.0016739758582320228,1.7997119428385546,0.004686650204115326
extended,0.0,3,10.0,0.0004799135587435523,0.00022881574371884643,2.097379965409453,0.0007087293024623987
extended,0.0,4,0.001,0.013186862210208873,0.011219409804152796,1.175361488636637,0.02440627201436167
extended,0.0,4,0.003,0.01317302298685586,0.011194351073397784,1.1767562853181752,0.024367374060253646
extended,0.0,4,0.01,0.013124248354627794,0.01110735572661987,1.181581708236161,0.024231604081247665
extended,0.0,4,0.03,0.012982355983484383,0.010864755321559784,1.1949055085048783,0.023847111305044168
extended,0.0,4,0.1,0.01246764645055659,0.010080355998683205,1.2368260060407004,0.022548002449239796
extended,0.0,4,0.3,0.011013844595614213,0.00828899444709152,1.3287310860909154,0.01930283904270573
extended,0.0,4,1.0,0.007356601959113651,0.0048400659623756516,1.5199383675306086,0.012196667921489303
extended,0.0,4,3.0,0.003012674345883303,0.0016739758582320228,1.7997119428385546,0.004686650204115326
extended,0.0,4,10.0,0.0004799135587435523,0.00022881574371884643,2.097379965409453,0.0007087293024623987
extended,0.0,5,0.001,0.013186862210208873,0.011219409804152796,1.175361488636637,0.02440627201436167
extended,0.0,5,0.003,0.01317302298685586,0.011194351073397784,1.1767562853181752,0.024367374060253646
extended,0.0,5,0.01,0.013124248354627794,0.01110735572661987,1.181581708236161,0.024231604081247665
extended,0.0,5,0.03,0.012982355983484383,0.010864755321559784,1.1949055085048783,0.023847111305044168
extended,0.0,5,0.1,0.01246764645055659,0.010080355998683205,1.2368260060407004,0.022548002449239796
extended,0.0,5,0.3,0.011013844595614213,0.00828899444709152,1.3287310860909154,0.01930283904270573
extended,0.0,5,1.0,0.007356601959113651,0.0048400659623756516,1.5199383675306086,0.012196667921489303
extended,0.0,5,3.0,0.003012674345883303,0.0016739758582320228,1.7997119428385546,0.004686650204115326
extended,0.0,5,10.0,0.0004799135587435523,0.00022881574371884643,2.097379965409453,0.0007087293024623987
extended,0.0,6,0.001,0.013186862210208873,0.011219409804152796,1.175361488636637,0.02440627201436167
extended,0.0,6,0.003,0.01317302298685586,0.011194351073397784,1.1767562853181752,0.024367374060253646
extended,0.0,6,0.01,0.013124248354627794,0.01110735572661987,1.181581708236161,0.024231604081247665
extended,0.0,6,0.03,0.012982355983484383,0.010864755321559784,1.1949055085048783,0.023847111305044168
extended,0.0,6,0.1,0.01246764645055659,0.010080355998683205,1.2368260060407004,0.022548002449239796
extended,0.0,6,0.3,0.011013844595614213,0.00828899444709152,1.3287310860909154,0.01930283904270573
extended,0.0,6,1.0,0.007356601959113651,0.0048400659623756516,1.5199383675306086,0.012196667921489303
extended,0.0,6,3.0,0.003012674345883303,0.0016739758582320228,1.7997119428385546,0.004686650204115326
