mode,epsilon,trial,model,T_env,P_sink_T_end,P_sink_D_end,Selectivity_end,coverage_end
extended,0.0,0,CRW,,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,0.0,0,CRW_thermal,0.1,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,0.0,0,CRW_thermal,1.0,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,0.0,1,CRW,,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,0.0,1,CRW_thermal,0.1,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,0.0,1,CRW_thermal,1.0,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,0.0,2,CRW,,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,0.0,2,CRW_thermal,0.1,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,0.0,2,CRW_thermal,1.0,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,0.0,3,CRW,,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,0.0,3,CRW_thermal,0.1,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,0.0,3,CRW_thermal,1.0,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,0.0,4,CRW,,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,0.0,4,CRW_thermal,0.1,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,0.0,4,CRW_thermal,1.0,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,0.0,5,CRW,,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,0.0,5,CRW_thermal,0.1,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,0.0,5,CRW_thermal,1.0,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,0.0,6,CRW,,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,0.0,6,CRW_thermal,0.1,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,0.0,6,CRW_thermal,1.0,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,0.0,7,CRW,,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,0.0,7,CRW_thermal,0.1,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,0.0,7,CRW_thermal,1.0,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,0.0,8,CRW,,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,0.0,8,CRW_thermal,0.1,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,0.0,8,CRW_thermal,1.0,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,0.0,9,CRW,,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,0.0,9,CRW_thermal,0.1,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,0.0,9,CRW_thermal,1.0,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,1.0,0,CRW,,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,1.0,0,CRW_thermal,0.1,0.15276871120475408,0.20211478150033535,0.755851254767058,0.35488349270508945
extended,1.0,0,CRW_thermal,1.0,0.22568181642749144,0.25235377937611264,0.8943072577892202,0.4780355958036041
extended,1.0,1,CRW,,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,1.0,1,CRW_thermal,0.1,0.09444522596046549,0.09166496883956343,1.0303306394478557,0.18611019480002894
extended,1.0,1,CRW_thermal,1.0,0.2002137568802971,0.21557844462856252,0.9287280888603348,0.41579220150885965
