time,P_success_CRW,P_success_CRN_kappa_0,P_success_CRN_kappa_1,P_success_CRN_kappa_10
3.558897243107769448e+00,6.280453633448611350e-02,1.127159447959034111e-01,1.179503735790387031e-01,1.189515806985308455e-02
3.609022556390977243e+00,6.441882664682684057e-02,1.130017018714879473e-01,1.204069581369047182e-01,1.241055911806177026e-02
3.659147869674185038e+00,6.603967165761893965e-02,1.134535635771838358e-01,1.228718321551794945e-01,1.293541983260715345e-02
3.709273182957393278e+00,6.766675383361603346e-02,1.141016508882143343e-01,1.253446288985295975e-01,1.346955967157081879e-02
3.759398496240601517e+00,6.929976685213037890e-02,1.149643856736581871e-01,1.278246803586907676e-01,1.401279779737729658e-02
3.809523809523809312e+00,7.093841512989024212e-02,1.160451967225493153e-01,1.303109362645343827e-01,1.456495342435126794e-02
3.859649122807017108e+00,7.258241337548891614e-02,1.173307673371710713e-01,1.328019622988299009e-01,1.512584613748080287e-02
3.909774436090225347e+00,7.423148616428341950e-02,1.187911397221762533e-01,1.352960141423109608e-01,1.569529618386522607e-02
3.959899749373433586e+00,7.588536753462046813e-02,1.203817395991350070e-01,1.377911732317962379e-01,1.627312473833530948e-02
4.010025062656641381e+00,7.754380060429098831e-02,1.220471168568443288e-01,1.402855218050194086e-01,1.685915414469507656e-02
4.060150375939849177e+00,7.920653720614978521e-02,1.237259559950730781e-01,1.427773300352335184e-01,1.745320813399708904e-02
4.110275689223056972e+00,8.087333754186885881e-02,1.253567313056133115e-01,1.452652273796404270e-01,1.805511202123788461e-02
4.160401002506265655e+00,8.254396985283836419e-02,1.268832939571052920e-01,1.477483335870579673e-01,1.866469288180327979e-02
4.210526315789473450e+00,8.421821010726639190e-02,1.282596948157246342e-01,1.502263314517316983e-01,1.928177970895261772e-02
4.260651629072681246e+00,8.589584170257448525e-02,1.294536648308316495e-01,1.526994722278363081e-01,1.990620355358518889e-02
4.310776942355889929e+00,8.757665518222977619e-02,1.304483751153989735e-01,1.551685142438251619e-01,2.053779764748098202e-02
4.360902255639097724e+00,8.926044796619579669e-02,1.312423497186436805e-01,1.576346042584200191e-01,2.117639751114752666e-02
4.411027568922305520e+00,9.094702409423079115e-02,1.318476663284410266e-01,1.600991182467345064e-01,2.182184104736306640e-02
4.461152882205513315e+00,9.263619398130039373e-02,1.322868135000626610e-01,1.625634827177450115e-01,2.247396862145067953e-02
4.511278195488721110e+00,9.432777418441730399e-02,1.325887426408616232e-01,1.650289989248708844e-01,2.313262312926367414e-02
