n_targets,P_thermal,P_ctqw,P_crn_max,kappa_opt,gain
1,0.8980742771687028,0.23889359340559502,0.8609124802953108,1.0,0.9586205753598138
2,0.973210296942262,0.3696864701907622,0.9922010163606999,3.0,1.0195134797464689
3,0.9999398964041742,0.39338800244619576,0.9971614259111861,3.0,0.9972213625009066
6,0.9999994682698676,0.5070628371889734,0.9999249942828956,3.0,0.9999255259734279
14,0.9999999987996345,0.5119919266692912,0.9999889335709785,5.0,0.9999889347713307
