variant,epsilon,y,y_low,y_high,n_candidates,n_pix
lesion_KC_MBON,0,0.030328010936865917,0.029447621281490505,0.030900264212859935,1,313
lesion_KC_MBON,1,0.01632981541639684,0.015933640071477906,0.01747432196838488,1,308
lesion_KC_MBON,2,0.01228002300166994,0.012059925587826086,0.01236806196720748,1,7
lesion_KC_MBON,3,0.010387185242612802,0.010035029380462634,0.010739341104762965,1,255
lesion_KC_MBON,5,0.005412983689741715,0.005412983689741715,0.005412983689741715,1,1
original,0,0.024341361280313105,0.023504991107706465,0.02473753662523204,1,264
original,1,0.011487672311832068,0.010915419035838047,0.012500120415513793,1,345
original,2,0.008318269552480578,0.007746016276486561,0.008846503345705827,1,307
original,3,0.007129743517723771,0.006337392827885896,0.007922094207561643,1,347
original,5,0.0036522043789908865,0.00316799006853441,0.004048379723909822,1,276
rewired_type,0,0.02517773145291975,0.02460547817692573,0.02605812110829516,1,306
rewired_type,1,0.017254224554541026,0.016549912830240696,0.017914516796072585,1,334
rewired_type,2,0.012103945070594858,0.011531691794600837,0.012632178863820103,1,322
rewired_type,3,0.009286698173393532,0.008890522828474596,0.009682873518312467,1,276
rewired_type,5,0.005192886275897861,0.004796710930978925,0.005501022655279256,1,256
