variant,epsilon,y,y_low,y_high,n_candidates,n_pix
lesion_KC_MBON,0,0.017291825089812245,0.017040893475081458,0.017519944739567504,1,278
lesion_KC_MBON,1,0.013710346588654672,0.013436603008948361,0.013984090168360983,1,295
lesion_KC_MBON,2,0.01024292791237473,0.010060432192570523,0.010516671492081043,1,276
lesion_KC_MBON,3,0.00850921857423476,0.008326722854430552,0.008691714294038968,1,259
lesion_KC_MBON,5,0.005087423827905871,0.0048821161431261365,0.0052471075827345524,1,242
original,0,0.012159132970318908,0.011976637250514701,0.012364440655098643,1,241
original,1,0.009444509138231324,0.00923920145345159,0.009672628787986583,1,291
original,2,0.006980816920874523,0.00677550923609479,0.007186124605654256,1,291
original,3,0.005680534917269544,0.005383979372587708,0.0059770904619513825,1,310
original,5,0.0033537144897658987,0.0031484068049861674,0.0035590221745456334,1,268
rewired_type,0,0.0156721755765499,0.01523874824201491,0.01612841487606042,1,353
rewired_type,1,0.012706620129731531,0.012341628690123115,0.013071611569339947,1,354
rewired_type,2,0.009102329663598434,0.008828586083892124,0.009376073243304745,1,316
rewired_type,3,0.0071405006757032045,0.0069351929909234715,0.0073458083604829374,1,286
rewired_type,5,0.0044943127385421965,0.0042890050537624635,0.004653996493370878,1,257
