variant,epsilon,y,y_low,y_high,n_candidates,n_pix
lesion_KC_MBON,0,0.0508625262459938,0.002876284672339191,0.10037214056801841,1,1229
lesion_KC_MBON,1,0.12017598629682824,0.11484418167753327,0.12550779091612319,3,283
lesion_KC_MBON,2,0.19558293734114263,0.17006644380594532,0.2393799038567798,2,939
lesion_KC_MBON,3,0.19748715327660513,0.19367872140568015,0.2009147419604376,3,257
lesion_KC_MBON,5,0.07790239252956108,0.06533456735550869,0.08970853132942849,1,455
original,0,0.006303873356171663,0.002876284672339191,0.010493148414189135,1,63
original,1,0.1502625980771355,0.06800046966515616,0.23252472648911485,1,1921
original,2,0.10075298375511091,0.031058680517183967,0.16930475743176035,1,1677
original,3,0.14873922532876552,0.06800046966515616,0.23252472648911485,1,1885
original,5,-0.00017046082440080879,-0.003598049508233281,0.005161343794894135,1,255
rewired_type,0,-0.000551304011493281,-0.003598049508233281,0.0024954414852466633,1,234
rewired_type,1,-0.000551304011493281,-0.003598049508233281,0.0024954414852466633,1,247
rewired_type,2,0.009731462040004135,0.003637971046524191,0.015444109846391607,1,327
rewired_type,3,0.02229928721405655,0.01277820753674408,0.03143952370427644,1,398
rewired_type,5,0.01734832578185408,0.008208089291634135,0.026107719084981496,1,377
