T_env,n,recall_mean,recall_std,recall_ci95,leakage_mean,leakage_std,leakage_ci95,selectivity_ratio_of_means
0.1,100,0.47973128390196984,0.2356394767522054,0.046185337443432256,0.3997764798165227,0.2139390242918751,0.04193204876120752,1.1999987696178183
1.0,100,0.2751109902575493,0.053682577583297045,0.01052178520632622,0.6573895103114096,0.05673016394708985,0.011119112133629611,0.41849008227592116
inf,100,0.2666666666666655,4.8977750656750076e-15,9.599639128723013e-16,0.6666666666666639,1.2233212803197278e-14,2.3977097094266663e-15,0.3999999999999999
