InfoPerCost_mean,InfoPerCost_std,P_sink_D_end_mean,P_sink_D_end_std,P_sink_T_end_mean,P_sink_T_end_std,Selectivity_end_mean,Selectivity_end_std,Utility_mean,Utility_std,coverage_end_mean,coverage_end_std,epsilon,kappa,mode,n_trials,precision_end_mean,precision_end_std,throughput_correct_end_mean,throughput_correct_end_std,throughput_net_end_mean,throughput_net_end_std,throughput_total_end_mean,throughput_total_end_std
0.05718295795705023,0.0,0.011219409804152796,0.0,0.013186862210208875,1.828559098217032e-18,1.175361488636637,0.0,0.001967452406056078,4.57139774554258e-19,0.024406272014361675,3.657118196434064e-18,0.0,0.001,extended,10,0.5403062869433387,0.0,0.0013186862210208873,0.0,0.00019674524060560774,0.0,0.002440627201436167,0.0
0.05757413731957014,7.314236392868128e-18,0.011194351073397783,1.828559098217032e-18,0.013173022986855859,1.828559098217032e-18,1.1767562853181752,0.0,0.0019786719134580757,4.57139774554258e-19,0.024367374060253643,3.657118196434064e-18,0.0,0.003,extended,10,0.5406008441567273,0.0,0.001317302298685586,0.0,0.00019786719134580761,0.0,0.002436737406025365,0.0
0.05891902182617244,7.314236392868128e-18,0.011107355726619871,1.828559098217032e-18,0.013124248354627794,0.0,1.181581708236161,0.0,0.002016892628007924,4.57139774554258e-19,0.024231604081247665,0.0,0.0,0.01,extended,10,0.5416169854303775,0.0,0.0013124248354627797,2.28569887277129e-19,0.00020168926280079245,0.0,0.0024231604081247663,0.0
0.0625637042653332,0.0,0.010864755321559784,0.0,0.012982355983484383,0.0,1.194905508504878,2.340555645717801e-16,0.002117600661924599,0.0,0.023847111305044168,0.0,0.0,0.03,extended,10,0.5443995214941754,0.0,0.0012982355983484383,0.0,0.00021176006619245993,0.0,0.0023847111305044166,0.0
0.07334675778018884,0.0,0.010080355998683205,0.0,0.01246764645055659,0.0,1.2368260060407006,2.340555645717801e-16,0.002387290451873385,4.57139774554258e-19,0.022548002449239796,0.0,0.0,0.1,extended,10,0.5529379588557272,0.0,0.0012467646450556589,0.0,0.0002387290451873384,2.8571235909641123e-20,0.002254800244923979,4.57139774554258e-19
0.09298928832634674,1.4628472785736255e-17,0.008288994447091521,1.828559098217032e-18,0.011013844595614214,1.828559098217032e-18,1.3287310860909154,0.0,0.0027248501485226937,4.57139774554258e-19,0.019302839042705734,3.657118196434064e-18,0.0,0.3,extended,10,0.5705815901612767,0.0,0.001101384459561421,2.28569887277129e-19,0.0002724850148522693,0.0,0.001930283904270573,0.0
0.11337449411952778,1.4628472785736255e-17,0.004840065962375651,9.14279549108516e-19,0.007356601959113651,0.0,1.5199383675306086,0.0,0.0025165359967379993,4.57139774554258e-19,0.012196667921489301,1.828559098217032e-18,0.0,1.0,extended,10,0.6031648976973505,0.0,0.0007356601959113651,0.0,0.0002516535996738,0.0,0.0012196667921489305,2.28569887277129e-19
0.09115070278423089,0.0,0.0016739758582320226,2.28569887277129e-19,0.0030126743458833024,4.57139774554258e-19,1.7997119428385548,2.340555645717801e-16,0.00133869848765128,0.0,0.004686650204115325,9.14279549108516e-19,0.0,3.0,extended,10,0.6428203972291098,1.1702778228589004e-16,0.0003012674345883303,0.0,0.000133869848765128,0.0,0.0004686650204115326,0.0
0.02344795614237514,0.0,0.0002288157437188464,2.8571235909641123e-20,0.00047991355874355235,5.714247181928225e-20,2.097379965409453,0.0,0.00025109781502470586,0.0,0.0007087293024623987,0.0,0.0,10.0,extended,10,0.6771464889008365,0.0,4.799135587435522e-05,7.142808977410281e-21,2.5109781502470586e-05,0.0,7.087293024623987e-05,0.0
0.08025039860762424,0.0749423258029706,0.004722661473172271,0.0013360782260763199,0.0064906204731428555,0.002001971787809881,1.408312107052733,0.3943329816537402,0.0017679589999705866,0.0018137776293340273,0.011213281946315126,0.0028803129764126867,1.0,0.001,extended,10,0.5751680908505399,0.06591217762152497,0.0006490620473142857,0.0002001971787809881,0.00017679589999705864,0.00018137776293340271,0.0011213281946315127,0.00028803129764126863
