T_max,baseline_T_env,bestIPC_InfoPerCost_boot_mean,bestIPC_InfoPerCost_ci_hi,bestIPC_InfoPerCost_ci_lo,bestIPC_kappa_mode_boot,bestIPC_kappa_ratioOfMeans,bestSel_Selectivity_boot_mean,bestSel_Selectivity_ci_hi,bestSel_Selectivity_ci_lo,bestSel_kappa_mode_boot,bestU_Utility_boot_mean,bestU_Utility_ci_hi,bestU_Utility_ci_lo,bestU_kappa_mode_boot,chi,epsilon,lambda,mode,pT_min
10.0,0.1,0.11337449411952784,0.11337449411952784,0.11337449411952784,1.0,1.0,1.5199383675306088,1.519938367530609,1.519938367530609,1.0,0.0027248501485226937,0.0027248501485226933,0.0027248501485226933,0.3,0.01,0.0,1.0,extended,0.005
10.0,0.1,0.10667347880682117,0.13359866374501092,0.08290397440656413,1.0,1.0,1.5573695546655881,1.6988486289497888,1.4175127092060429,1.0,0.00212747392144167,0.002914438496532586,0.0015730457096879416,1.0,0.01,1.0,1.0,extended,0.005
10.0,0.1,0.1112012732839788,0.1597169701215213,0.08414848574863068,1.0,1.0,1.6549115350596766,2.0913506939351323,1.3394501263016474,0.3,0.001989690231906278,0.0030923237483144405,0.0014228952708315885,1.0,0.01,2.0,1.0,extended,0.005
10.0,0.1,0.16759962953230914,0.27391401983989455,0.08616501948873834,0.001,0.001,2.4968072090642073,3.894245244393605,1.7297363378942228,0.001,0.003058093184043655,0.005434856174081881,0.0013401694527063082,0.001,0.01,3.0,1.0,extended,0.005
10.0,0.1,0.06295662421173007,0.09741098681231669,0.04354321603215917,1.0,1.0,nan,nan,nan,nan,0.0008337847527042001,0.0013635363107881468,0.0005231440123992187,1.0,0.01,5.0,1.0,extended,0.005
