trial,T_env,recall,leakage,selectivity,recall_frac,recall_minus_leakage
0,0.01,0.6561778148993167,0.3438221851007091,1.9084801485602663,0.6561778148992998,0.3123556297986076
0,0.05,0.6861291160937373,0.3134925919644155,2.188661338994638,0.6863887714349456,0.3726365241293218
0,0.1,0.5836355854525476,0.4059293918101473,1.4377761187726787,0.5897900581192586,0.17770619364240026
0,0.2,0.44594670374342477,0.5109483407230498,0.8727823699600621,0.46603512717747053,-0.06500163697962508
0,0.5,0.35071437175560344,0.5631517660189237,0.6227706151663179,0.3837699606746269,-0.21243739426332026
0,1.0,0.3093565881619863,0.5977231434279164,0.5175583237213128,0.34104674306828037,-0.28836655526593014
0,2.0,0.28693578740894854,0.6274933595003136,0.4572730261838016,0.3137867907850283,-0.34055757209136506
0,5.0,0.27413954682507524,0.6506612526142187,0.42132453058122143,0.29643091462646426,-0.37652170578914346
0,10.0,0.2702800244703689,0.6587214495210375,0.4103100402558502,0.2909360555792499,-0.3884414250506686
0,inf,0.2666666666666578,0.6666666666666446,0.39999999999999986,0.28571428571428564,-0.39999999999998687
1,0.01,0.6260675999551977,0.37392940061053714,1.6742935937451808,0.6260694778094418,0.25213819934466053
1,0.05,0.6167138416133182,0.3373227986149678,1.8282601832592327,0.646425740489116,0.27939104299835044
1,0.1,0.37548755358096675,0.5606409298747725,0.6697469513416323,0.40110685682252295,-0.1851533762938058
1,0.2,0.2554345855768558,0.7033577655283672,0.3631645203845465,0.2664128320197905,-0.4479231799515114
1,0.5,0.3263476242238565,0.6338789053230985,0.5148422222025384,0.33986524448333116,-0.30753128109924205
1,1.0,0.31091312694347994,0.6474510028883345,0.4802110515799185,0.3244206635718334,-0.3365378759448545
1,2.0,0.28707486186007136,0.6628869495543912,0.4330676023310613,0.302196212953683,-0.37581208769431984
1,5.0,0.2732250520148712,0.6673262148060538,0.4094325173397827,0.29049458722050875,-0.3941011627911826
1,10.0,0.2696230670506087,0.6673157099282512,0.4040412402093728,0.28777020833741435,-0.3976926428776425
1,inf,0.2666666666666694,0.6666666666666734,0.4,0.28571428571428575,-0.400000000000004
2,0.01,0.38373153047698394,0.13409641860828142,2.861609090380925,0.7410405930287067,0.24963511186870252
2,0.05,0.7726837547690047,0.07989634920923744,9.671077119499582,0.9062887477241947,0.6927874055597674
2,0.1,0.6640853395889882,0.16909754571118887,3.9272322776536126,0.7970463043653774,0.49498779387779934
2,0.2,0.4348429198995586,0.41025760574575637,1.059926528623672,0.5145457927239064,0.024585314153802218
2,0.5,0.3212992593280477,0.5812545197966054,0.5527686209484923,0.3559890465913972,-0.25995526046855766
2,1.0,0.3334386726990164,0.5829382618825627,0.5719965466363403,0.3638662870222346,-0.2494995891835463
2,2.0,0.31548783396086144,0.6103749290130749,0.5168754792582632,0.340750105282874,-0.29488709505221344
2,5.0,0.28935947442753185,0.6416694977823695,0.45094784063691284,0.3107953490864036,-0.35231002335483763
2,10.0,0.2783419379656037,0.6539889697143962,0.4256064717531222,0.29854414958550085,-0.37564703174879255
2,inf,0.2666666666666651,0.6666666666666626,0.4000000000000001,0.28571428571428575,-0.3999999999999975
3,0.01,0.2640198843906415,0.09918849769795125,2.6617994073731683,0.7269102185153935,0.16483138669269026
3,0.05,0.2094701265579776,0.17380813877514692,1.205180194863982,0.546522319432639,0.03566198778283067
3,0.1,0.18649407384424851,0.514264807341197,0.36264210807743674,0.26613158798467745,-0.3277707334969484
3,0.2,0.17934801791605676,0.7210613446877253,0.24872782217125805,0.19918497670595348,-0.5417133267716685
3,0.5,0.19549379627551275,0.678591578183308,0.2880875663073791,0.22365526524974788,-0.4830977819077952
3,1.0,0.23153054809685755,0.6598460159810275,0.35088572559255204,0.2597449354486588,-0.42831546788416996
3,2.0,0.2522428741166956,0.6600133898319438,0.3821784194119502,0.2765044035158273,-0.4077705157152482
3,5.0,0.26078483337444586,0.6650574063559109,0.3921237939494274,0.28167307796455376,-0.4042725729814651
3,10.0,0.26353036466231167,0.6662680670779798,0.395532035353374,0.28342741358367896,-0.40273770241566814
3,inf,0.26666666666666927,0.6666666666666732,0.4,0.2857142857142857,-0.4000000000000039
4,0.01,0.5721661286353721,0.42783378696330143,1.3373561090079384,0.5721661769269564,0.14433234167207065
4,0.05,0.5913187361306403,0.40650532489334223,1.4546395826076546,0.5926082154441333,0.1848134112372981
4,0.1,0.5773273479703231,0.398895355728469,1.4473152912898641,0.5913889789521368,0.17843199224185413
4,0.2,0.3629571849770843,0.5818881213435252,0.6237576806672908,0.3841445605424047,-0.2189309363664409
4,0.5,0.3097982486626785,0.5847962365174398,0.529754176442002,0.3463001994700465,-0.2749979878547613
4,1.0,0.2745996886496157,0.6131659471257047,0.44783910446566305,0.3093155193034669,-0.338566258476089
4,2.0,0.2598344315166028,0.6408856084875652,0.4054302797183879,0.2884741317795044,-0.38105117697096236
4,5.0,0.26043779758395186,0.6579288868642569,0.39584490479696033,0.2835880286101986,-0.397491089280305
4,10.0,0.26301561704997456,0.6626594020154146,0.396909205920927,0.28413386083976766,-0.39964378496544006
4,inf,0.26666666666666594,0.6666666666666647,0.4000000000000001,0.28571428571428575,-0.3999999999999988
5,0.01,0.7602447718386671,0.23974402434715497,3.171068700915001,0.7602532895752517,0.5205007474915122
5,0.05,0.7544690373561119,0.24513876437069734,3.077722282287466,0.7547650549073113,0.5093302729854146
5,0.1,0.6412929988347871,0.3528880017226536,1.8172706232693072,0.6450465241995289,0.28840499711213347
5,0.2,0.38932892506573347,0.5867930395348283,0.6634859291691128,0.3988527450307406,-0.19746411446909484
