trial,epsilon,T_env,recall,leakage,selectivity,N,cluster_sizes,p_in,p_out,eps_values,t_end,n_trials,seed,bootstrap_B
3,0.0,0.1,0.2666666666666697,0.6666666666666741,0.40000000000000013,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
3,0.5,0.1,0.20459252958431756,0.672082364547755,0.3044158579015655,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
3,1.0,0.1,0.18079488587420375,0.6999465244564721,0.2582981407252447,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
3,2.0,0.1,0.18885967886693972,0.7036761510141217,0.2683900521493581,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
3,3.0,0.1,0.18649407384424851,0.514264807341197,0.36264210807743674,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
3,4.0,0.1,0.17557112537457029,0.3348492945965304,0.5243287897205249,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
3,5.0,0.1,0.1866932558807994,0.23052754290300553,0.8098522785164574,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
3,8.0,0.1,0.24662869536173698,0.12033089577080605,2.0495874628199395,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
4,0.0,0.1,0.26666666666666594,0.6666666666666647,0.4000000000000001,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
4,0.5,0.1,0.29927926168327457,0.590602621317199,0.5067354103776296,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
