kappa,P_success_linear,P_success_threshold
0.001,0.11389418565987719,0.13328615504686572
0.001584893192461114,0.11502453508887156,0.13487396837539065
0.0025118864315095794,0.11645749181680003,0.13689896741438187
0.003981071705534973,0.11827647214143673,0.13948840297504586
0.006309573444801929,0.12058869743579688,0.14280920939120453
0.01,0.12353187834549917,0.14708064082394443
0.01584893192461114,0.12728214412486882,0.1525911342974047
0.025118864315095808,0.13206244275166376,0.15972707243198006
0.039810717055349734,0.13814896501882312,0.1690565985324636
0.06309573444801933,0.14586935900635015,0.18157450975308598
0.09999999999999999,0.15557835021325472,0.19871714699879386
0.1584893192461114,0.16757970800060104,0.22145267372210967
0.25118864315095824,0.18193197669928793,0.2489364981023309
0.3981071705534973,0.19802587357177906,0.27864865997404176
0.6309573444801936,0.21378755284320594,0.3051817053681889
1.0,0.22454800534055486,0.31851060889302046
1.584893192461114,0.22267222181992863,0.3124520453002529
2.511886431509582,0.201400629270579,0.27601081623104023
3.9810717055349736,0.16414168799716589,0.21466146061612176
6.309573444801936,0.12113664981596732,0.15784936981773343
10.0,0.07352212522892394,0.08483574728747656
