epsilon,trial,bestIPC_kappa,bestIPC_InfoPerCost,bestIPC_Utility,bestIPC_P_sink_T_end,bestIPC_P_sink_D_end,bestIPC_Selectivity_end,bestIPC_coverage_end,bestU_kappa,bestU_Utility,bestU_InfoPerCost,bestU_P_sink_T_end,bestU_P_sink_D_end,bestU_Selectivity_end,bestU_coverage_end,bestSel_kappa,bestSel_Selectivity_end,bestSel_Utility,bestSel_InfoPerCost,bestSel_P_sink_T_end,bestSel_P_sink_D_end,bestSel_coverage_end
0.0,0,1.0,0.1133744941195283,0.0025165359967379997,0.0073566019591136,0.0048400659623756,1.5199383675306142,0.0121966679214892,0.3,0.0027248501485227002,0.09298928832634705,0.0110138445956142,0.0082889944470915,1.328731086090917,0.019302839042705702,1.0,1.5199383675306142,0.0025165359967379997,0.1133744941195283,0.0073566019591136,0.0048400659623756,0.0121966679214892
0.0,1,1.0,0.1133744941195283,0.0025165359967379997,0.0073566019591136,0.0048400659623756,1.5199383675306142,0.0121966679214892,0.3,0.0027248501485227002,0.09298928832634705,0.0110138445956142,0.0082889944470915,1.328731086090917,0.019302839042705702,1.0,1.5199383675306142,0.0025165359967379997,0.1133744941195283,0.0073566019591136,0.0048400659623756,0.0121966679214892
0.0,2,1.0,0.1133744941195283,0.0025165359967379997,0.0073566019591136,0.0048400659623756,1.5199383675306142,0.0121966679214892,0.3,0.0027248501485227002,0.09298928832634705,0.0110138445956142,0.0082889944470915,1.328731086090917,0.019302839042705702,1.0,1.5199383675306142,0.0025165359967379997,0.1133744941195283,0.0073566019591136,0.0048400659623756,0.0121966679214892
0.0,3,1.0,0.1133744941195283,0.0025165359967379997,0.0073566019591136,0.0048400659623756,1.5199383675306142,0.0121966679214892,0.3,0.0027248501485227002,0.09298928832634705,0.0110138445956142,0.0082889944470915,1.328731086090917,0.019302839042705702,1.0,1.5199383675306142,0.0025165359967379997,0.1133744941195283,0.0073566019591136,0.0048400659623756,0.0121966679214892
0.0,4,1.0,0.1133744941195283,0.0025165359967379997,0.0073566019591136,0.0048400659623756,1.5199383675306142,0.0121966679214892,0.3,0.0027248501485227002,0.09298928832634705,0.0110138445956142,0.0082889944470915,1.328731086090917,0.019302839042705702,1.0,1.5199383675306142,0.0025165359967379997,0.1133744941195283,0.0073566019591136,0.0048400659623756,0.0121966679214892
0.0,5,1.0,0.1133744941195283,0.0025165359967379997,0.0073566019591136,0.0048400659623756,1.5199383675306142,0.0121966679214892,0.3,0.0027248501485227002,0.09298928832634705,0.0110138445956142,0.0082889944470915,1.328731086090917,0.019302839042705702,1.0,1.5199383675306142,0.0025165359967379997,0.1133744941195283,0.0073566019591136,0.0048400659623756,0.0121966679214892
0.0,6,1.0,0.1133744941195283,0.0025165359967379997,0.0073566019591136,0.0048400659623756,1.5199383675306142,0.0121966679214892,0.3,0.0027248501485227002,0.09298928832634705,0.0110138445956142,0.0082889944470915,1.328731086090917,0.019302839042705702,1.0,1.5199383675306142,0.0025165359967379997,0.1133744941195283,0.0073566019591136,0.0048400659623756,0.0121966679214892
0.0,7,1.0,0.1133744941195283,0.0025165359967379997,0.0073566019591136,0.0048400659623756,1.5199383675306142,0.0121966679214892,0.3,0.0027248501485227002,0.09298928832634705,0.0110138445956142,0.0082889944470915,1.328731086090917,0.019302839042705702,1.0,1.5199383675306142,0.0025165359967379997,0.1133744941195283,0.0073566019591136,0.0048400659623756,0.0121966679214892
0.0,8,1.0,0.1133744941195283,0.0025165359967379997,0.0073566019591136,0.0048400659623756,1.5199383675306142,0.0121966679214892,0.3,0.0027248501485227002,0.09298928832634705,0.0110138445956142,0.0082889944470915,1.328731086090917,0.019302839042705702,1.0,1.5199383675306142,0.0025165359967379997,0.1133744941195283,0.0073566019591136,0.0048400659623756,0.0121966679214892
0.0,9,1.0,0.1133744941195283,0.0025165359967379997,0.0073566019591136,0.0048400659623756,1.5199383675306142,0.0121966679214892,0.3,0.0027248501485227002,0.09298928832634705,0.0110138445956142,0.0082889944470915,1.328731086090917,0.019302839042705702,1.0,1.5199383675306142,0.0025165359967379997,0.1133744941195283,0.0073566019591136,0.0048400659623756,0.0121966679214892
