p_transport,modular_cost,best_global_strategy,best_global_fitness,best_modular_strategy,best_modular_fitness,winner,modular_gain
0.0,0.0,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.6787101733627088,tie,1.0
0.0,0.005,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.6737101733627088,global,0.992633085231024
0.0,0.01,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.6687101733627088,global,0.985266170462048
0.0,0.015,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.6637101733627088,global,0.977899255693072
0.0,0.02,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.6587101733627088,global,0.970532340924096
0.0,0.025,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.6537101733627088,global,0.96316542615512
0.0,0.03,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.6487101733627088,global,0.9557985113861439
0.0,0.035,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.6437101733627087,global,0.9484315966171679
0.0,0.04,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.6387101733627087,global,0.9410646818481919
0.0,0.045,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.6337101733627087,global,0.9336977670792159
0.0,0.05,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.6287101733627087,global,0.9263308523102399
0.0,0.055,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.6237101733627087,global,0.9189639375412639
0.0,0.06,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.6187101733627087,global,0.9115970227722879
0.0,0.065,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.6137101733627088,global,0.904230108003312
0.0,0.07,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.6087101733627087,global,0.8968631932343359
0.0,0.075,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.6037101733627088,global,0.8894962784653601
0.0,0.08,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.5987101733627088,global,0.8821293636963841
0.0,0.085,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.5937101733627088,global,0.8747624489274081
0.0,0.09,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.5887101733627088,global,0.8673955341584321
0.0,0.095,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.5837101733627088,global,0.8600286193894561
0.0,0.1,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.5787101733627088,global,0.8526617046204801
0.0,0.105,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.5737101733627088,global,0.8452947898515041
0.0,0.11,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.5687101733627088,global,0.8379278750825281
0.0,0.115,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.5637101733627088,global,0.8305609603135521
0.0,0.12,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.5587101733627088,global,0.823194045544576
0.0,0.125,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.5537101733627088,global,0.8158271307756
0.0,0.13,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.5487101733627088,global,0.808460216006624
0.0,0.135,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.5437101733627088,global,0.801093301237648
0.0,0.14,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.5387101733627088,global,0.793726386468672
0.0,0.145,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.5337101733627088,global,0.786359471699696
0.0,0.15,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.5287101733627088,global,0.77899255693072
0.0,0.155,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.5237101733627088,global,0.771625642161744
0.0,0.16,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.5187101733627087,global,0.764258727392768
