p_transport,modular_cost,best_global,best_modular,delta_modular_minus_global
0.0,0.0,0.994690213342012,0.994690213342012,0.0
0.0,0.05,0.994690213342012,0.944690213342012,-0.050000000000000044
0.0,0.1,0.994690213342012,0.894690213342012,-0.09999999999999998
0.05,0.0,0.9946902133420119,0.9946902133420119,0.0
0.05,0.05,0.9946902133420119,0.9446902133420119,-0.050000000000000044
0.05,0.1,0.9946902133420119,0.8946902133420119,-0.09999999999999998
0.1,0.0,0.994690213342012,0.994690213342012,0.0
0.1,0.05,0.994690213342012,0.944690213342012,-0.050000000000000044
0.1,0.1,0.994690213342012,0.894690213342012,-0.09999999999999998
0.15,0.0,0.9946902133420119,0.9946902133420119,0.0
0.15,0.05,0.9946902133420119,0.9446902133420119,-0.050000000000000044
0.15,0.1,0.9946902133420119,0.8946902133420119,-0.09999999999999998
0.2,0.0,0.9946902133420121,0.9946902133420121,0.0
0.2,0.05,0.9946902133420121,0.9446902133420121,-0.050000000000000044
0.2,0.1,0.9946902133420121,0.8946902133420122,-0.09999999999999998
0.25,0.0,0.994690213342012,0.994690213342012,0.0
0.25,0.05,0.994690213342012,0.944690213342012,-0.050000000000000044
0.25,0.1,0.994690213342012,0.894690213342012,-0.09999999999999998
0.3,0.0,0.9946902133420119,0.9946902133420119,0.0
0.3,0.05,0.9946902133420119,0.9446902133420119,-0.050000000000000044
0.3,0.1,0.9946902133420119,0.8946902133420119,-0.09999999999999998
0.35,0.0,0.994690213342012,0.994690213342012,0.0
0.35,0.05,0.994690213342012,0.944690213342012,-0.050000000000000044
0.35,0.1,0.994690213342012,0.894690213342012,-0.09999999999999998
0.4,0.0,0.994690213342012,0.994690213342012,0.0
0.4,0.05,0.994690213342012,0.944690213342012,-0.050000000000000044
0.4,0.1,0.994690213342012,0.894690213342012,-0.09999999999999998
0.45,0.0,0.994690213342012,0.994690213342012,0.0
0.45,0.05,0.994690213342012,0.944690213342012,-0.050000000000000044
0.45,0.1,0.994690213342012,0.894690213342012,-0.09999999999999998
0.5,0.0,0.994690213342012,0.994690213342012,0.0
0.5,0.05,0.994690213342012,0.944690213342012,-0.050000000000000044
0.5,0.1,0.994690213342012,0.894690213342012,-0.09999999999999998
0.55,0.0,0.9946902133420119,0.9946902133420119,0.0
0.55,0.05,0.9946902133420119,0.9446902133420119,-0.050000000000000044
0.55,0.1,0.9946902133420119,0.8946902133420119,-0.09999999999999998
0.6,0.0,0.994690213342012,0.994690213342012,0.0
0.6,0.05,0.994690213342012,0.944690213342012,-0.050000000000000044
0.6,0.1,0.994690213342012,0.894690213342012,-0.09999999999999998
0.65,0.0,0.994690213342012,0.994690213342012,0.0
0.65,0.05,0.994690213342012,0.944690213342012,-0.050000000000000044
0.65,0.1,0.994690213342012,0.894690213342012,-0.09999999999999998
0.7,0.0,0.994690213342012,0.994690213342012,0.0
0.7,0.05,0.994690213342012,0.944690213342012,-0.050000000000000044
0.7,0.1,0.994690213342012,0.894690213342012,-0.09999999999999998
0.75,0.0,0.994690213342012,0.994690213342012,0.0
0.75,0.05,0.994690213342012,0.944690213342012,-0.050000000000000044
0.75,0.1,0.994690213342012,0.894690213342012,-0.09999999999999998
0.8,0.0,0.9946902133420121,0.9946902133420121,0.0
0.8,0.05,0.9946902133420121,0.9446902133420121,-0.050000000000000044
0.8,0.1,0.9946902133420121,0.8946902133420122,-0.09999999999999998
0.85,0.0,0.9946902133420119,0.9946902133420119,0.0
0.85,0.05,0.9946902133420119,0.9446902133420119,-0.050000000000000044
0.85,0.1,0.9946902133420119,0.8946902133420119,-0.09999999999999998
0.9,0.0,0.994690213342012,0.994690213342012,0.0
0.9,0.05,0.994690213342012,0.944690213342012,-0.050000000000000044
0.9,0.1,0.994690213342012,0.894690213342012,-0.09999999999999998
0.95,0.0,0.994690213342012,0.994690213342012,0.0
0.95,0.05,0.994690213342012,0.944690213342012,-0.050000000000000044
0.95,0.1,0.994690213342012,0.894690213342012,-0.09999999999999998
1.0,0.0,0.994690213342012,0.994690213342012,0.0
1.0,0.05,0.994690213342012,0.944690213342012,-0.050000000000000044
1.0,0.1,0.994690213342012,0.894690213342012,-0.09999999999999998
