t,P_classical,P_crn_opt,P_crn_low
0.0,0.0,0.0,0.0
0.5,6.268763286243484e-12,0.0,1.1102230246251565e-16
1.0,3.108764579096146e-09,1.354472090042691e-13,2.6079138848444927e-13
1.5,8.975938359245816e-08,1.411807337703408e-10,3.6629155264478186e-10
2.0,8.239070232729517e-07,1.3776827234579514e-08,4.6653945040553424e-08
2.5,4.088362784315791e-06,3.528034120403589e-07,1.486918784210367e-06
3.0,1.3880240476660255e-05,3.811375272610995e-06,1.8731300669094786e-05
3.5,3.6530984800275945e-05,2.277796109240171e-05,0.00012012638832037403
4.0,8.024982343901588e-05,8.991421372639419e-05,0.00046225583977965723
4.5,0.00015424941675790116,0.0002650419324158326,0.0012052972160776498
5.0,0.0002677900919129117,0.000634138152137087,0.002346756196600186
5.5,0.00042938001316161767,0.0012995395902010154,0.0036977350620379656
6.0,0.0006462335471292269,0.0023596059415287307,0.005055398979889825
6.5,0.0009239902563954461,0.0038826392855554337,0.0063771657698875606
7.0,0.00126664552784983,0.005889302353565884,0.007793535670449048
7.5,0.001676628718298323,0.008355141143800426,0.009535851984233457
8.0,0.0021549697170755167,0.011230069443216584,0.011910561780960283
8.5,0.0027015078646600577,0.014460718818894547,0.01521895800320161
9.0,0.0033151112542131322,0.018004187657106985,0.019475776267456557
9.5,0.003993886432158145,0.021831376005022385,0.02417570374811495
10.0,0.0047353674996656325,0.025924154259719057,0.028573368034175428
10.5,0.0055366797761127184,0.03027061829908062,0.032300067288146606
11.0,0.006394677089570311,0.03486063969953246,0.03557191192746034
11.5,0.0073060540294086485,0.03968275416061662,0.03883096993170687
12.0,0.008267435662022815,0.04472287608897507,0.042379120944657234
12.5,0.009275447674295001,0.04996463609867208,0.04634930567154505
13.0,0.010326769953680315,0.055390564973248124,0.05075817869256494
13.5,0.011418176427364202,0.06098332317048272,0.05537053946250592
14.0,0.012546563685652323,0.06672654865643035,0.059626748902022464
14.5,0.013708970579173418,0.07260524916600952,0.06298761606032999
15.0,0.014902590647060121,0.07860582718928799,0.06540112881883287
15.5,0.016124778925690753,0.08471587660638435,0.06727922633232863
16.0,0.01737305441450754,0.09092390514650572,0.06906506005967405
16.5,0.018645099239510854,0.0972191100527755,0.07096739337932378
17.0,0.019938755355037974,0.10359126283280995,0.07303019528058441
17.5,0.0212520194572402,0.1100306860253093,0.07527068263746495
18.0,0.022583036644351684,0.11652827246031994,0.07767289260078769
18.5,0.023930093245356776,0.12307550573729265,0.08008089586269762
19.0,0.025291609146195215,0.12966446300501022,0.08221538982631427
19.5,0.026666129867745192,0.13628779756990517,0.08390969678920501
20.0,0.028052318589489644,0.14293870637938266,0.08529546183640224
20.5,0.029448948264423347,0.14961089000807093,0.08672337744021341
21.0,0.03085489393222418,0.15629851255333616,0.08855190842811012
21.5,0.032269125307176516,0.16299616628243074,0.09099213580181365
22.0,0.03369069969329297,0.1696988423272876,0.09410930863039613
22.5,0.035118755260285295,0.17640190613979156,0.09786179402451489
23.0,0.036552504699470134,0.18310107563867228,0.10199598536626009
23.5,0.037991229267540505,0.18979240044358137,0.10599499528562406
24.0,0.03943427321767656,0.19647224139258412,0.1094015323201667
24.5,0.040881038611192855,0.20313725019505124,0.11226264595013768
25.0,0.042330980498360926,0.2097843494869851,0.11510984390193535
25.5,0.04378360245382462,0.21641071372317855,0.11847603265644446
26.0,0.04523845244989,0.22301375127247836,0.12250583808973659
26.5,0.04669511904964663,0.22959108787200389,0.12699433729869247
27.0,0.04815322790118537,0.23614055138891976,0.1316256475655363
27.5,0.049612438513993884,0.24266015772910365,0.1360292054902137
28.0,0.051072441298760984,0.2491480977214936,0.13978053459152395
28.5,0.05253295485226517,0.25560272484615154,0.14266030678924335
29.0,0.053993723469644705,0.26202254372138734,0.1449179516176754
29.5,0.055454514867111504,0.26840619930293985,0.14708628076832875
30.0,0.056915118099008066,0.27475246677104037,0.1495290700231925
30.5,0.05837534165401548,0.2810602420883318,0.15223941432164834
31.0,0.05983501171622785,0.2873285332065352,0.1549932238352163
31.5,0.06129397057773811,0.29355645188992263,0.15757423129440817
32.0,0.06275207519028059,0.29974320611597705,0.159838488156812
32.5,0.06420919584436258,0.3058880930109953,0.16168603024854544
33.0,0.06566521496515454,0.3119904922799881,0.1630985611752448
33.5,0.06712002601523093,0.318049860094039,0.16420705637135435
34.0,0.06857353249500808,0.3240657234026352,0.16527400812674653
34.5,0.07002564703245096,0.33003767464236855,0.1665775195267456
35.0,0.07147629055429816,0.335965366816257,0.1682757701719252
35.5,0.07292539153168687,0.34184850891976337,0.17033418021520785
36.0,0.07437288529364339,0.3476868616906993,0.17259638047951664
