variant,surrogate_id,epsilon,trial,energy_seed,kappa,P_sink_T_end,P_sink_D_end,Selectivity_end,coverage_end,N_edges
original,0,0.0,0,42,0.001,0.013186862210208873,0.011219409804152796,1.175361488636637,0.02440627201436167,1765
original,0,0.0,0,42,1.0,0.007356601959113651,0.0048400659623756516,1.5199383675306086,0.012196667921489303,1765
original,0,0.0,1,1042,0.001,0.013186862210208873,0.011219409804152796,1.175361488636637,0.02440627201436167,1765
original,0,0.0,1,1042,1.0,0.007356601959113651,0.0048400659623756516,1.5199383675306086,0.012196667921489303,1765
original,0,0.0,2,2042,0.001,0.013186862210208873,0.011219409804152796,1.175361488636637,0.02440627201436167,1765
original,0,0.0,2,2042,1.0,0.007356601959113651,0.0048400659623756516,1.5199383675306086,0.012196667921489303,1765
original,0,0.0,3,3042,0.001,0.013186862210208873,0.011219409804152796,1.175361488636637,0.02440627201436167,1765
original,0,0.0,3,3042,1.0,0.007356601959113651,0.0048400659623756516,1.5199383675306086,0.012196667921489303,1765
original,0,0.0,4,4042,0.001,0.013186862210208873,0.011219409804152796,1.175361488636637,0.02440627201436167,1765
original,0,0.0,4,4042,1.0,0.007356601959113651,0.0048400659623756516,1.5199383675306086,0.012196667921489303,1765
original,0,3.0,0,342,0.001,0.006734718953666296,0.0031545047538653,2.1349528617064566,0.009889223707531595,1765
original,0,3.0,0,342,1.0,0.004038008833204151,0.0024215808920792833,1.6675093715615739,0.006459589725283434,1765
original,0,3.0,1,1342,0.001,0.005200708166911467,0.0036297855760357256,1.4327866086124679,0.008830493742947193,1765
original,0,3.0,1,1342,1.0,0.003632143222053453,0.0021886996192276597,1.6594982648535628,0.005820842841281112,1765
original,0,3.0,2,2342,0.001,0.012578704797882886,0.004915731534910012,2.5588673234072954,0.0174944363327929,1765
original,0,3.0,2,2342,1.0,0.006231502647896092,0.003042270556742416,2.0483065294890523,0.009273773204638508,1765
original,0,3.0,3,3342,0.001,0.0026495046249848143,0.0006040551662913515,4.386196441072558,0.0032535597912761657,1765
original,0,3.0,3,3342,1.0,0.0030452862892451555,0.0010650968980679255,2.859163604654289,0.004110383187313081,1765
original,0,3.0,4,4342,0.001,0.004137071684072637,0.0016757333511071189,2.468812641862475,0.005812805035179756,1765
original,0,3.0,4,4342,1.0,0.0038054268407338365,0.002109371071138563,1.8040575653081967,0.0059147979118724,1765
original,0,5.0,0,542,0.001,0.0023080129353007725,0.0036677765155640105,0.629267602559092,0.0059757894508647835,1765
original,0,5.0,0,542,1.0,0.00248918470690942,0.0016339491476667376,1.5234162635603035,0.004123133854576157,1765
original,0,5.0,1,1542,0.001,0.004500847962174034,0.002545618094789297,1.7680766685383325,0.007046466056963331,1765
original,0,5.0,1,1542,1.0,0.0032174959968245534,0.0015007770745631528,2.1438866899117697,0.004718273071387706,1765
original,0,5.0,2,2542,0.001,0.004475407193267919,0.001144208199796202,3.9113573824708547,0.005619615393064121,1765
original,0,5.0,2,2542,1.0,0.0036808483638937546,0.0010181424582106787,3.615258680742335,0.004698990822104433,1765
original,0,5.0,3,3542,0.001,0.00045558716574392924,0.0019651817757694355,0.23182952901836362,0.002420768941513365,1765
original,0,5.0,3,3542,1.0,0.0014584762192454985,0.0015570658834729303,0.9366824061778192,0.0030155421027184288,1765
original,0,5.0,4,4542,0.001,0.0009209232266965921,0.0019424346468467765,0.47410770175328776,0.0028633578735433687,1765
original,0,5.0,4,4542,1.0,0.001511884884531638,0.0013370360657507302,1.1307734489211096,0.002848920950282368,1765
rewired_type,1,0.0,0,42,0.001,0.011032653878522525,0.013504835184844891,0.8169410234703505,0.024537489063367418,1603
rewired_type,1,0.0,0,42,1.0,0.006319008118755397,0.00816018334983389,0.774370850148809,0.014479191468589288,1603
rewired_type,1,0.0,1,1042,0.001,0.011032653878522525,0.013504835184844891,0.8169410234703505,0.024537489063367418,1603
rewired_type,1,0.0,1,1042,1.0,0.0063190081187553876,0.00816018334983387,0.7743708501488098,0.014479191468589257,1603
rewired_type,1,0.0,2,2042,0.001,0.011032653878522525,0.013504835184844891,0.8169410234703505,0.024537489063367418,1603
rewired_type,1,0.0,2,2042,1.0,0.0063190081187553876,0.00816018334983387,0.7743708501488098,0.014479191468589257,1603
rewired_type,1,0.0,3,3042,0.001,0.011032653878522525,0.013504835184844894,0.8169410234703502,0.024537489063367418,1603
rewired_type,1,0.0,3,3042,1.0,0.006319008118755397,0.00816018334983389,0.774370850148809,0.014479191468589288,1603
rewired_type,1,0.0,4,4042,0.001,0.011032653878522525,0.013504835184844891,0.8169410234703505,0.024537489063367418,1603
rewired_type,1,0.0,4,4042,1.0,0.0063190081187553876,0.00816018334983387,0.7743708501488098,0.014479191468589257,1603
rewired_type,1,3.0,0,342,0.001,0.002101961088936558,0.003351905166853296,0.6270944384392426,0.0054538662557898545,1603
rewired_type,1,3.0,0,342,1.0,0.002336476296366705,0.003551146884246365,0.6579497756270956,0.00588762318061307,1603
rewired_type,1,3.0,1,1342,0.001,0.0017742526684911652,0.02846236802803366,0.062336790342999576,0.030236620696524826,1603
rewired_type,1,3.0,1,1342,1.0,0.001916780721135809,0.007016306027361325,0.27318944090918984,0.008933086748497134,1603
rewired_type,1,3.0,2,2342,0.001,0.005496757941082875,0.002474816242378585,2.2210772035255344,0.00797157418346146,1603
rewired_type,1,3.0,2,2342,1.0,0.00407967927723905,0.002721737048338347,1.4989248422182513,0.006801416325577398,1603
rewired_type,1,3.0,3,3342,0.001,0.0018634912868312331,0.001215108454138124,1.5336007900787805,0.003078599740969357,1603
rewired_type,1,3.0,3,3342,1.0,0.0024340452340056943,0.0023019001077424473,1.0574069764197715,0.004735945341748142,1603
rewired_type,1,3.0,4,4342,0.001,0.005073031673355421,0.009207552023630983,0.5509642150035786,0.014280583696986406,1603
rewired_type,1,3.0,4,4342,1.0,0.0030819284459125953,0.004487452157251452,0.6867880341065246,0.007569380603164047,1603
rewired_type,1,5.0,0,542,0.001,0.0003178721993096763,0.0009000373349740385,0.3531766812380829,0.0012179095342837148,1603
rewired_type,1,5.0,0,542,1.0,0.0008772184469596207,0.0015802081403905978,0.5551284188345342,0.0024574265873502183,1603
rewired_type,1,5.0,1,1542,0.001,0.0007715153354203433,0.002536295238802409,0.30418987636488587,0.0033078105742227523,1603
rewired_type,1,5.0,1,1542,1.0,0.0013018419183600098,0.0021555808699515776,0.6039401888852882,0.0034574227883115874,1603
rewired_type,1,5.0,2,2542,0.001,0.006553014927212747,0.004550661704184679,1.4400136401584713,0.011103676631397427,1603
rewired_type,1,5.0,2,2542,1.0,0.00227985172479799,0.002670839085548342,0.8536087914395307,0.004950690810346332,1603
rewired_type,1,5.0,3,3542,0.001,0.000941743466453262,0.00578602598874353,0.16276170693367475,0.0067277694551967915,1603
rewired_type,1,5.0,3,3542,1.0,0.0009719857519488222,0.00258349017428954,0.37622970710151377,0.0035554759262383623,1603
rewired_type,1,5.0,4,4542,0.001,0.0020033803996284912,0.0016227597917735357,1.2345514157732604,0.003626140191402027,1603
rewired_type,1,5.0,4,4542,1.0,0.0023401497566422724,0.001978779965023704,1.1826225233848155,0.004318929721665976,1603
rewired_type,2,0.0,0,42,0.001,0.01072651865059375,0.014043609010642074,0.763800718298375,0.024770127661235826,1609
rewired_type,2,0.0,0,42,1.0,0.007049408055621344,0.010326291012686025,0.6826660265799559,0.017375699068307368,1609
rewired_type,2,0.0,1,1042,0.001,0.01072651865059375,0.014043609010642074,0.763800718298375,0.024770127661235826,1609
rewired_type,2,0.0,1,1042,1.0,0.007049408055621344,0.010326291012686025,0.6826660265799559,0.017375699068307368,1609
rewired_type,2,0.0,2,2042,0.001,0.01072651865059375,0.014043609010642074,0.763800718298375,0.024770127661235826,1609
rewired_type,2,0.0,2,2042,1.0,0.007049408055621344,0.010326291012686025,0.6826660265799559,0.017375699068307368,1609
rewired_type,2,0.0,3,3042,0.001,0.01072651865059375,0.014043609010642074,0.763800718298375,0.024770127661235826,1609
rewired_type,2,0.0,3,3042,1.0,0.007049408055621344,0.010326291012686025,0.6826660265799559,0.017375699068307368,1609
rewired_type,2,0.0,4,4042,0.001,0.01072651865059375,0.014043609010642074,0.763800718298375,0.024770127661235826,1609
rewired_type,2,0.0,4,4042,1.0,0.007049408055621344,0.010326291012686025,0.6826660265799559,0.017375699068307368,1609
rewired_type,2,3.0,0,342,0.001,0.0018366922387279693,0.0033584084550342544,0.5468936440497206,0.005195100693762224,1609
