epsilon,trial,energy_seed,kappa,P_sink_T_end,P_sink_D_end,Selectivity_end,coverage_end,PR_all_mean,PR_T_topK_mean,PR_D_topK_mean,delta_PR_TminusD,ratio_PR_T_over_D
3.0,3,3342,0.001,0.0026495046249848143,0.0006040551662913515,4.386196441072558,0.0032535597912761657,2.839178929395726,3.395771462112368,1.9739207326214347,1.421850729490933,1.7203180482342197
3.0,4,4342,0.001,0.004137071684072637,0.0016757333511071189,2.468812641862475,0.005812805035179756,3.197267961794132,3.341190771955779,3.0248755248249126,0.31631524713086634,1.1045713268314323
3.0,5,5342,0.001,0.0046690085462731765,0.0024943029908466026,1.8718690397819626,0.0071633115371197795,2.7538554921391856,3.547384279032965,4.490191483829813,-0.9428072047968481,0.7900296216337079
3.0,6,6342,0.001,0.002467269711657811,0.001905121660993575,1.295071995074576,0.004372391372651386,2.9926308406595674,3.7086846784446386,4.4424722373880545,-0.733787558943416,0.8348245031746455
3.0,7,7342,0.001,0.00209444477524444,0.003913281617340813,0.5352144260275498,0.006007726392585253,2.2540975266049927,2.14540816058402,1.8993336069866893,0.24607455359733077,1.1295583633607844
3.0,8,8342,0.001,0.001954189722469245,0.0015293631650070336,1.2777800367530607,0.0034835528874762782,2.6953589292701503,2.370626291028306,2.873460207777456,-0.5028339167491498,0.8250075238946571
3.0,9,9342,0.001,0.012034562480197478,0.0006963120116375927,17.28329005069322,0.01273087449183507,2.859563823457453,4.4556486116060885,2.3686974337659676,2.086951177840121,1.8810543499944181
5.0,0,542,0.001,0.0023080129353007725,0.0036677765155640105,0.629267602559092,0.0059757894508647835,2.032046949678912,4.31011268597194,2.2290496868818153,2.0810629990901246,1.9336099645231744
5.0,1,1542,0.001,0.004500847962174034,0.002545618094789297,1.7680766685383325,0.007046466056963331,1.9188337178596198,3.4323053944454394,3.656760849168451,-0.22445545472301154,0.9386190500332958
5.0,2,2542,0.001,0.004475407193267919,0.001144208199796202,3.9113573824708547,0.005619615393064121,1.8872857646470174,3.266112656604186,2.1925196218794065,1.0735930347247793,1.4896617681371105
5.0,3,3542,0.001,0.00045558716574392924,0.0019651817757694355,0.23182952901836362,0.002420768941513365,1.7433569619504579,1.8318540821572729,1.8468950315179786,-0.015040949360705769,0.991856088676386
5.0,4,4542,0.001,0.0009209232266965921,0.0019424346468467765,0.47410770175328776,0.0028633578735433687,1.779431559946956,2.474886226277346,3.0317899956772716,-0.5569037693999257,0.8163118915907898
5.0,5,5542,0.001,0.0015429525559160252,0.0042937845931409445,0.3593455894414105,0.00583673714905697,1.9676514730206016,2.1955889111639815,2.397856353977135,-0.20226744281315368,0.9156465555254515
5.0,6,6542,0.001,0.0015337493891255083,0.00048824221748549603,3.141369859171797,0.0020219916066110044,1.851231506862788,3.0216042436812662,2.033418968887427,0.9881852747938393,1.4859722909610305
5.0,7,7542,0.001,0.0021939507099679127,0.0015236150170694184,1.4399639567401223,0.0037175657270373313,1.7706611828120422,2.6564910064056986,3.143777620514098,-0.48728661410839935,0.8449996555326601
5.0,8,8542,0.001,0.0010411913814716695,0.0011128605197532043,0.935599171733554,0.002154051901224874,1.7742019350475113,2.1283831422178556,3.681883193373051,-1.5535000511551953,0.5780691647276293
5.0,9,9542,0.001,0.00112644710253647,0.0015585245732521388,0.7227650568660413,0.0026849716757886086,1.8654929598770087,2.7551572461119873,3.3416254051785343,-0.586468159066547,0.8244961394662327
