variant,surrogate_id,epsilon,kappa,n_trials,P_sink_T_end_mean,P_sink_D_end_mean,Selectivity_end_mean,Selectivity_end_std,coverage_end_mean
lesion_KC_MBON,1,0.0,0.001,20,0.014759313298350688,0.016790404310002116,0.8790326322683887,0.0,0.031549717608352804
lesion_KC_MBON,1,1.0,0.001,20,0.010416092136727393,0.007573484985233038,1.4628246606844324,0.6872304969711547,0.017989577121960428
lesion_KC_MBON,1,2.0,0.001,20,0.007299600780821558,0.005328063090487495,1.5248817795410308,0.6806212119028004,0.012627663871309053
lesion_KC_MBON,1,3.0,0.001,20,0.005924061255969495,0.004426405510325178,2.2877439213242647,3.8869588558694925,0.010350466766294674
lesion_KC_MBON,1,5.0,0.001,20,0.0028501203489472863,0.002681351450977886,2.098446162391128,2.4967076896066827,0.005531471799925172
lesion_KC_MBON,2,0.0,0.001,20,0.015759207458356614,0.013907420510741893,1.133150999860202,0.0,0.029666627969098497
lesion_KC_MBON,2,1.0,0.001,20,0.011128939948538061,0.006893681161938473,1.7361626937904144,0.9312093563648344,0.018022621110476533
lesion_KC_MBON,2,2.0,0.001,20,0.008032961557244752,0.004464578227950568,1.8619052816724182,0.9453444614127265,0.012497539785195324
lesion_KC_MBON,2,3.0,0.001,20,0.006912337398392506,0.004331161319332133,2.7293306932918933,3.7465365239093384,0.011243498717724638
lesion_KC_MBON,2,5.0,0.001,20,0.002855811887896214,0.0024027516474921635,1.5037437093902422,1.0389525343082024,0.005258563535388377
lesion_KC_MBON,3,0.0,0.001,20,0.017862098325053137,0.013195074378357078,1.3536944022837296,2.278129578503827e-16,0.031057172703410213
lesion_KC_MBON,3,1.0,0.001,20,0.009095829536514373,0.007559707420032093,1.3426797132111268,0.5442216783671959,0.016655536956546466
lesion_KC_MBON,3,2.0,0.001,20,0.007857027593044281,0.004782248723976094,1.8021894566817818,1.0286960967851337,0.012639276317020373
lesion_KC_MBON,3,3.0,0.001,20,0.006693192774003785,0.003909358801668972,2.257811004852105,2.859561483582274,0.010602551575672758
